time,open,high,low,close,Upper Band,Lower Band,VWAP,MA,EMA,MA,Volume,Plot,Plot
1722861600,5115.48,5144.48,5115.48,5126.73,5213.101083666616,5085.173965749903,5206.0971619641705,5247.520600000011,5128.406428391397,17283.333333333332,27756,22.776782613107297,14.377175106884883
1722861900,5126.98,5126.98,5103.98,5113.23,5211.2046818513045,5080.230839049356,5204.091301574328,5246.4753500000115,5125.3711427131175,18148.5,18589,28.159271169707548,21.700221646952638
1722862200,5112.98,5118.73,5106.48,5110.1,5207.298907584412,5077.352277992376,5202.53167708719,5245.365700000011,5122.316914170494,18521.75,14550,26.93700957614928,25.957687786321372
1722862500,5109.98,5128.48,5105.98,5122.23,5202.413240786734,5078.410212830359,5201.362499679446,5244.315450000011,5122.299531336395,18622.166666666668,12211,27.070681160876223,27.38898730224435
1722862800,5121.98,5140.48,5116.73,5137.73,5197.629605313484,5082.6830431972185,5200.182742524713,5243.368950000011,5125.385625069116,18858.166666666668,15036,37.19203692624644,30.39990922109065
1722863100,5137.48,5166.48,5135.23,5149.48,5195.556994743325,5086.531592004452,5199.091969237801,5242.483700000011,5130.204500055293,19664.5,19903,52.97331161508583,39.07867656740283
1722863400,5149.6,5159.73,5148.48,5151.85,5193.410940940813,5090.735875640509,5198.3889439186405,5241.607800000011,5134.533600044234,19765.333333333332,14181,67.76505476634655,52.64346776922628
1722863700,5151.85,5157.85,5139.23,5153.6,5192.208969903823,5094.133387955469,5197.810528495462,5240.726900000011,5138.346880035388,19256.75,11215,77.26637011527309,66.00157883223515
1722864000,5153.6,5159.35,5147.6,5148.6,5188.659074693912,5098.717344321639,5197.38237660123,5239.85225000001,5140.39750402831,17987.083333333332,8781,80.02640264026508,75.01927584062824
1722864300,5147.48,5147.48,5130.35,5130.35,5184.634989239446,5100.20081844129,5196.280452613029,5238.8676000000105,5138.388003222648,17234.25,17248,70.56545654565562,75.95274310039792
1722864600,5130.48,5148.23,5116.98,5137.1,5181.868653873068,5101.954219742835,5192.343039840323,5237.91170000001,5138.130402578118,21000.916666666668,64893,63.30473047304836,71.29886321965635
1722864900,5136.98,5174.23,5130.48,5171.48,5185.7500277949,5103.704953095679,5190.4945123529415,5237.110200000009,5144.800322062494,23666.5,59635,70.07491288051031,67.98169996640476
1722865200,5171.73,5172.23,5146.35,5156.48,5185.853755155785,5105.839798983311,5189.1783739901375,5236.2324500000095,5147.136257649995,25211.833333333332,46300,78.56675901054102,70.64880078803323
1722865500,5156.1,5185.73,5152.48,5184.48,5194.357319390083,5104.694943878623,5188.385103598483,5235.49720000001,5154.605006119996,28943.166666666668,63365,90.98556786390306,79.8757465849848
1722865800,5184.23,5195.48,5174.23,5177.98,5200.664686556143,5103.807361163163,5188.138226280735,5234.695700000009,5159.280004895996,32137.083333333332,52877,85.70814456841754,85.0868238142872
1722866100,5177.73,5181.98,5166.73,5166.85,5203.786437337377,5103.469224884852,5187.692480882337,5233.84480000001,5160.794003916797,34043.75,35091,82.45214604549386,86.38195282593814
1722866400,5166.73,5224.48,5166.73,5208.48,5215.037300638258,5102.666393753283,5188.401808250214,5233.2670500000095,5170.331203133437,39383.333333333336,79111,78.46112680653594,82.20713914014911
1722866700,5208.23,5212.48,5182.73,5188.98,5218.886404594115,5104.555985569659,5188.627464269241,5232.54555000001,5174.06096250675,41919,50331,73.85414258295287,78.25580514499423
1722867000,5189.23,5191.98,5172.98,5191.73,5220.321504930818,5108.836848074501,5188.543900383013,5231.85405000001,5177.5947700054,44034.916666666664,39572,74.36204609514347,75.55910516154408
1722867300,5191.73,5198.98,5181.23,5196.73,5223.90969422675,5111.372625159016,5188.6528203901225,5231.1650500000105,5181.42181600432,46698.333333333336,43176,70.25809816723323,72.82476228177653
1722867600,5196.98,5198.23,5170.98,5177.98,5223.95089681356,5113.300725487847,5188.48681549806,5230.333550000011,5180.733452803456,49360.666666666664,40729,66.82170542635659,70.4806165629111
1722867900,5177.73,5192.73,5159.98,5160.6,5219.089170157739,5116.6337262102,5188.043655841887,5229.425050000011,5176.706762242765,51269.5,40154,57.16899224806227,64.74959861388402
1722868200,5160.48,5187.73,5159.98,5186.48,5216.25365236434,5123.0156348257,5187.829579556033,5228.659700000011,5178.661409794212,48738.916666666664,34526,53.99069767441885,59.32713178294589
1722868500,5186.73,5192.98,5174.48,5185.98,5214.271520662518,5128.111167747518,5187.76162954126,5227.889350000011,5180.125127835369,46546.75,33329,56.471317829457604,55.87700258397957
1722868800,5185.48,5189.23,5174.98,5176.23,5212.525925872437,5130.816506498549,5187.6139068598795,5227.289850000011,5179.346102268295,45396.916666666664,32502,59.16914068942767,56.54371873110137
1722869100,5177.48,5187.98,5173.98,5179.73,5212.361219059579,5132.516219752265,5187.491978693955,5226.697850000011,5179.422881814636,42573.5,29484,51.8599749876603,55.83347783551519
1722869400,5179.23,5205.73,5172.23,5199.23,5215.565163291196,5134.4153765861865,5187.584865732979,5226.192750000011,5183.384305451708,40909.75,32912,52.10814466896951,54.37908678201916
