id,open,high,low,close,effective_datetime,ticker,effective_date
2512128,5428.700000,5432.790000,5428.700000,5429.850000,"2024-07-25 13:30:00.000000",SPX,2024-07-25
2512130,5428.700000,5432.790000,5428.700000,5429.850000,"2024-07-25 13:30:00.000000",SPX,2024-07-25
2512131,5429.630000,5431.920000,5426.960000,5427.370000,"2024-07-25 13:31:00.000000",SPX,2024-07-25
2512133,5429.630000,5431.920000,5426.960000,5427.370000,"2024-07-25 13:31:00.000000",SPX,2024-07-25
2512134,5427.120000,5428.780000,5425.970000,5427.300000,"2024-07-25 13:32:00.000000",SPX,2024-07-25
2512137,5427.120000,5428.780000,5425.970000,5427.300000,"2024-07-25 13:32:00.000000",SPX,2024-07-25
2512138,5427.120000,5427.280000,5422.810000,5423.920000,"2024-07-25 13:33:00.000000",SPX,2024-07-25
2512141,5427.120000,5427.280000,5422.810000,5423.920000,"2024-07-25 13:33:00.000000",SPX,2024-07-25
2512142,5424.070000,5424.600000,5421.640000,5424.030000,"2024-07-25 13:34:00.000000",SPX,2024-07-25
2512145,5424.070000,5424.600000,5421.640000,5424.030000,"2024-07-25 13:34:00.000000",SPX,2024-07-25
2512146,5423.720000,5425.340000,5418.880000,5419.530000,"2024-07-25 13:35:00.000000",SPX,2024-07-25
2512149,5423.720000,5425.340000,5418.880000,5419.530000,"2024-07-25 13:35:00.000000",SPX,2024-07-25
2512150,5419.800000,5422.480000,5418.980000,5420.010000,"2024-07-25 13:36:00.000000",SPX,2024-07-25
2512153,5419.800000,5422.480000,5418.980000,5420.010000,"2024-07-25 13:36:00.000000",SPX,2024-07-25
2512154,5420.620000,5426.710000,5420.620000,5424.930000,"2024-07-25 13:37:00.000000",SPX,2024-07-25
2512157,5420.620000,5426.710000,5420.620000,5424.930000,"2024-07-25 13:37:00.000000",SPX,2024-07-25
2512158,5424.710000,5424.710000,5419.770000,5419.770000,"2024-07-25 13:38:00.000000",SPX,2024-07-25
2512161,5424.710000,5424.710000,5419.770000,5419.770000,"2024-07-25 13:38:00.000000",SPX,2024-07-25
2512162,5419.940000,5423.540000,5418.370000,5420.950000,"2024-07-25 13:39:00.000000",SPX,2024-07-25
2512165,5419.940000,5423.540000,5418.370000,5420.950000,"2024-07-25 13:39:00.000000",SPX,2024-07-25
2512166,5420.990000,5426.300000,5419.480000,5425.120000,"2024-07-25 13:40:00.000000",SPX,2024-07-25
2512169,5420.990000,5426.300000,5419.480000,5425.120000,"2024-07-25 13:40:00.000000",SPX,2024-07-25
2512170,5425.560000,5430.340000,5425.310000,5430.230000,"2024-07-25 13:41:00.000000",SPX,2024-07-25
2512173,5425.560000,5430.340000,5425.310000,5430.230000,"2024-07-25 13:41:00.000000",SPX,2024-07-25
2512174,5429.990000,5432.020000,5428.160000,5430.160000,"2024-07-25 13:42:00.000000",SPX,2024-07-25
2512177,5429.990000,5432.020000,5428.160000,5430.160000,"2024-07-25 13:42:00.000000",SPX,2024-07-25
2512178,5430.210000,5430.670000,5427.500000,5427.930000,"2024-07-25 13:43:00.000000",SPX,2024-07-25
2512181,5430.210000,5430.670000,5427.500000,5427.930000,"2024-07-25 13:43:00.000000",SPX,2024-07-25
2512182,5428.520000,5428.520000,5424.960000,5425.760000,"2024-07-25 13:44:00.000000",SPX,2024-07-25
2512185,5428.520000,5428.520000,5424.960000,5425.760000,"2024-07-25 13:44:00.000000",SPX,2024-07-25
2512186,5425.350000,5429.580000,5424.570000,5425.750000,"2024-07-25 13:45:00.000000",SPX,2024-07-25
2512189,5425.350000,5429.580000,5424.570000,5425.750000,"2024-07-25 13:45:00.000000",SPX,2024-07-25
2512190,5425.250000,5426.340000,5422.140000,5422.620000,"2024-07-25 13:46:00.000000",SPX,2024-07-25
2512193,5425.250000,5426.340000,5422.140000,5422.620000,"2024-07-25 13:46:00.000000",SPX,2024-07-25
2512194,5422.380000,5426.010000,5420.330000,5425.700000,"2024-07-25 13:47:00.000000",SPX,2024-07-25
2512197,5422.380000,5426.010000,5420.330000,5425.700000,"2024-07-25 13:47:00.000000",SPX,2024-07-25
2512198,5425.520000,5425.790000,5419.710000,5420.360000,"2024-07-25 13:48:00.000000",SPX,2024-07-25
2512201,5425.520000,5425.790000,5419.710000,5420.360000,"2024-07-25 13:48:00.000000",SPX,2024-07-25
2512202,5420.560000,5425.950000,5419.980000,5425.130000,"2024-07-25 13:49:00.000000",SPX,2024-07-25
2512205,5420.560000,5425.950000,5419.980000,5425.130000,"2024-07-25 13:49:00.000000",SPX,2024-07-25
2512206,5424.880000,5427.000000,5423.830000,5425.130000,"2024-07-25 13:50:00.000000",SPX,2024-07-25
2512209,5424.880000,5427.000000,5423.830000,5425.130000,"2024-07-25 13:50:00.000000",SPX,2024-07-25
2512210,5424.750000,5427.710000,5424.210000,5426.900000,"2024-07-25 13:51:00.000000",SPX,2024-07-25
2512213,5424.750000,5427.710000,5424.210000,5426.900000,"2024-07-25 13:51:00.000000",SPX,2024-07-25
2512214,5426.820000,5426.820000,5423.410000,5425.080000,"2024-07-25 13:52:00.000000",SPX,2024-07-25
2512217,5426.820000,5426.820000,5423.410000,5425.080000,"2024-07-25 13:52:00.000000",SPX,2024-07-25
2512218,5424.600000,5425.620000,5423.170000,5423.700000,"2024-07-25 13:53:00.000000",SPX,2024-07-25
2512221,5424.600000,5425.620000,5423.170000,5423.700000,"2024-07-25 13:53:00.000000",SPX,2024-07-25
2512222,5424.120000,5424.970000,5421.010000,5423.670000,"2024-07-25 13:54:00.000000",SPX,2024-07-25
2512225,5424.120000,5424.970000,5421.010000,5423.670000,"2024-07-25 13:54:00.000000",SPX,2024-07-25
2512226,5423.880000,5425.000000,5422.350000,5423.270000,"2024-07-25 13:55:00.000000",SPX,2024-07-25
2512229,5423.880000,5425.000000,5422.350000,5423.270000,"2024-07-25 13:55:00.000000",SPX,2024-07-25
2512230,5422.880000,5423.940000,5421.710000,5421.710000,"2024-07-25 13:56:00.000000",SPX,2024-07-25
2512233,5422.880000,5423.940000,5421.710000,5421.710000,"2024-07-25 13:56:00.000000",SPX,2024-07-25
2512234,5421.670000,5422.300000,5416.040000,5416.050000,"2024-07-25 13:57:00.000000",SPX,2024-07-25
2512237,5421.670000,5422.300000,5416.040000,5416.050000,"2024-07-25 13:57:00.000000",SPX,2024-07-25
2512238,5415.770000,5416.520000,5411.880000,5413.080000,"2024-07-25 13:58:00.000000",SPX,2024-07-25
2512241,5415.770000,5416.520000,5411.880000,5413.080000,"2024-07-25 13:58:00.000000",SPX,2024-07-25
2512243,5415.770000,5416.520000,5411.880000,5413.080000,"2024-07-25 13:58:00.000000",SPX,2024-07-25
2512244,5413.450000,5417.660000,5413.110000,5415.890000,"2024-07-25 13:59:00.000000",SPX,2024-07-25
2512247,5413.450000,5417.660000,5413.110000,5415.890000,"2024-07-25 13:59:00.000000",SPX,2024-07-25
2512248,5415.190000,5415.190000,5408.880000,5409.210000,"2024-07-25 14:00:00.000000",SPX,2024-07-25
2512251,5415.190000,5415.190000,5408.880000,5409.210000,"2024-07-25 14:00:00.000000",SPX,2024-07-25
2512252,5408.870000,5412.420000,5407.390000,5408.250000,"2024-07-25 14:01:00.000000",SPX,2024-07-25
2512255,5408.870000,5412.420000,5407.390000,5408.250000,"2024-07-25 14:01:00.000000",SPX,2024-07-25
2512256,5408.330000,5408.510000,5402.450000,5402.820000,"2024-07-25 14:02:00.000000",SPX,2024-07-25
2512259,5408.330000,5408.510000,5402.450000,5402.820000,"2024-07-25 14:02:00.000000",SPX,2024-07-25
2512260,5403.940000,5403.940000,5399.650000,5400.320000,"2024-07-25 14:03:00.000000",SPX,2024-07-25
